Wall time,Step,Value
1542577639.7781403,194,2.1365833282470703
1542577643.2055216,389,1.9870226383209229
1542577646.5468621,584,1.9229249954223633
1542577649.9249945,779,1.8834768533706665
1542577653.262512,974,1.861709713935852
1542577656.4971807,1169,1.8420109748840332
1542577659.8353112,1364,1.8208922147750854
1542577663.0146859,1559,1.8097764253616333
1542577666.2718358,1754,1.795390009880066
1542577669.6762245,1949,1.7806017398834229
1542577672.9602733,2144,1.7706429958343506
1542577676.2662082,2339,1.7603312730789185
1542577679.5177643,2534,1.7546621561050415
1542577682.9556043,2729,1.7424558401107788
1542577686.167699,2924,1.7353259325027466
1542577689.6043484,3119,1.7263002395629883
1542577692.8987956,3314,1.7205764055252075
1542577696.1908302,3509,1.7159126996994019
1542577699.5558846,3704,1.7086223363876343
1542577702.7931368,3899,1.7066619396209717
1542577706.1418927,4094,1.6979174613952637
1542577709.3687704,4289,1.6939773559570312
1542577712.6842809,4484,1.6881672143936157
1542577716.0396948,4679,1.6900475025177002
1542577719.5364559,4874,1.6779121160507202
1542577722.7384133,5069,1.677934169769287
1542577726.0469007,5264,1.674234390258789
1542577729.2650409,5459,1.6698718070983887
1542577732.5068524,5654,1.665101170539856
1542577735.8421724,5849,1.6647148132324219
