Wall time,Step,Value
1542577639.7781403,194,0.3144230842590332
1542577643.2055216,389,0.47281649708747864
1542577646.5468621,584,0.5373197197914124
1542577649.9249945,779,0.5768429636955261
1542577653.262512,974,0.5986578464508057
1542577656.4971807,1169,0.6187299489974976
1542577659.8353112,1364,0.6396033763885498
1542577663.0146859,1559,0.6508413553237915
1542577666.2718358,1754,0.6653044819831848
1542577669.6762245,1949,0.6810497045516968
1542577672.9602733,2144,0.6907051205635071
1542577676.2662082,2339,0.7007812261581421
1542577679.5177643,2534,0.7060096263885498
1542577682.9556043,2729,0.7188301086425781
1542577686.167699,2924,0.7255609035491943
1542577689.6043484,3119,0.7351762652397156
1542577692.8987956,3314,0.7406851053237915
1542577696.1908302,3509,0.7451322078704834
1542577699.5558846,3704,0.7521434426307678
1542577702.7931368,3899,0.7541266083717346
1542577706.1418927,4094,0.7635015845298767
1542577709.3687704,4289,0.7669470906257629
1542577712.6842809,4484,0.7732571959495544
1542577716.0396948,4679,0.7703325152397156
1542577719.5364559,4874,0.7839543223381042
1542577722.7384133,5069,0.7829727530479431
1542577726.0469007,5264,0.7865184545516968
1542577729.2650409,5459,0.791326105594635
1542577732.5068524,5654,0.7958934307098389
1542577735.8421724,5849,0.7959935665130615
