Wall time,Step,Value
1542572574.559578,194,0.3207331597805023
1542572577.9217396,389,0.45506811141967773
1542572581.160785,584,0.5059695243835449
1542572584.3530853,779,0.5710136294364929
1542572587.6557417,974,0.6067708134651184
1542572590.8954566,1169,0.6316906809806824
1542572594.1411781,1364,0.6490985751152039
1542572597.342228,1559,0.6665064096450806
1542572600.555784,1754,0.6816506385803223
1542572603.8482764,1949,0.7020232081413269
1542572607.1340153,2144,0.7066506147384644
1542572610.4516766,2339,0.719491183757782
1542572613.7505777,2534,0.7332531809806824
1542572617.0402386,2729,0.7380608916282654
1542572620.3203127,2924,0.7486578822135925
1542572623.5912385,3119,0.7593549489974976
1542572626.8712459,3314,0.7703725695610046
1542572630.1616042,3509,0.776562511920929
1542572633.46095,3704,0.7765224575996399
1542572636.7894773,3899,0.7860376834869385
1542572640.0320158,4094,0.7925680875778198
1542572643.3387043,4289,0.7975761294364929
1542572646.6407099,4484,0.7984976172447205
1542572650.000937,4679,0.8044671416282654
1542572653.2756348,4874,0.813361406326294
1542572656.5040991,5069,0.8159655332565308
1542572659.8044248,5264,0.8188501596450806
1542572663.1809118,5459,0.8259815573692322
1542572666.3438368,5654,0.8311097621917725
1542572669.5213277,5849,0.8327123522758484
