Wall time,Step,Value
1542572574.559578,194,2.1298890113830566
1542572577.9217396,389,2.003082752227783
1542572581.160785,584,1.953325629234314
1542572584.3530853,779,1.8895900249481201
1542572587.6557417,974,1.8545217514038086
1542572590.8954566,1169,1.8289254903793335
1542572594.1411781,1364,1.8108720779418945
1542572597.342228,1559,1.7943201065063477
1542572600.555784,1754,1.7794678211212158
1542572603.8482764,1949,1.7587546110153198
1542572607.1340153,2144,1.754956841468811
1542572610.4516766,2339,1.7414170503616333
1542572613.7505777,2534,1.7283951044082642
1542572617.0402386,2729,1.7237138748168945
1542572620.3203127,2924,1.7121917009353638
1542572623.5912385,3119,1.7022836208343506
1542572626.8712459,3314,1.6919125318527222
1542572630.1616042,3509,1.684776782989502
1542572633.46095,3704,1.6843295097351074
1542572636.7894773,3899,1.675290822982788
1542572640.0320158,4094,1.6692999601364136
1542572643.3387043,4289,1.6636857986450195
1542572646.6407099,4484,1.662644863128662
1542572650.000937,4679,1.6564640998840332
1542572653.2756348,4874,1.6472948789596558
1542572656.5040991,5069,1.6455409526824951
1542572659.8044248,5264,1.6422568559646606
1542572663.1809118,5459,1.635390043258667
1542572666.3438368,5654,1.6301535367965698
1542572669.5213277,5849,1.6288220882415771
