Wall time,Step,Value
1542573221.4972634,194,2.130585193634033
1542573225.0616877,389,2.0222909450531006
1542573228.5790558,584,1.9684900045394897
1542573232.058868,779,1.9358035326004028
1542573235.5633726,974,1.9136327505111694
1542573239.054367,1169,1.8872010707855225
1542573242.5598233,1364,1.861099123954773
1542573245.9840105,1559,1.8446285724639893
1542573249.4677052,1754,1.8259812593460083
1542573252.9462996,1949,1.8099892139434814
1542573256.470802,2144,1.7937310934066772
1542573259.9213104,2339,1.7819290161132812
1542573263.430717,2534,1.7660259008407593
1542573266.805089,2729,1.7540559768676758
1542573270.3660612,2924,1.7446569204330444
1542573273.8141048,3119,1.7293319702148438
1542573277.263147,3314,1.7180691957473755
1542573280.6925542,3509,1.7064564228057861
1542573284.134916,3704,1.6964508295059204
1542573287.6347406,3899,1.686411738395691
1542573291.0680876,4094,1.6797183752059937
1542573294.524778,4289,1.6752599477767944
1542573297.9456518,4484,1.6654002666473389
1542573301.3785818,4679,1.6533771753311157
1542573304.802979,4874,1.653873085975647
1542573308.2984588,5069,1.642972469329834
1542573311.7480376,5264,1.6393957138061523
1542573315.1396375,5459,1.631971001625061
1542573318.5534074,5654,1.6269431114196777
1542573321.9944286,5849,1.6258841753005981
