Wall time,Step,Value
1542575636.2868528,194,2.071303606033325
1542575639.195585,389,1.9392443895339966
1542575642.2961547,584,1.8718342781066895
1542575645.0668855,779,1.834718942642212
1542575647.8716316,974,1.8082841634750366
1542575650.747427,1169,1.788917899131775
1542575653.6168447,1364,1.7714635133743286
1542575656.4334755,1559,1.7512133121490479
1542575659.2280898,1754,1.7366474866867065
1542575662.021975,1949,1.7232286930084229
1542575664.8371615,2144,1.7078813314437866
1542575667.6156151,2339,1.7039766311645508
1542575670.346477,2534,1.6897696256637573
1542575673.1585064,2729,1.6812560558319092
1542575675.9631383,2924,1.666319489479065
1542575678.7963388,3119,1.6579498052597046
1542575681.5797079,3314,1.6526398658752441
1542575684.3430877,3509,1.638017177581787
1542575687.1820805,3704,1.6327813863754272
1542575689.9763236,3899,1.6247522830963135
1542575692.777857,4094,1.6144789457321167
1542575695.6131134,4289,1.610190510749817
1542575698.4564312,4484,1.6047688722610474
1542575701.3578074,4679,1.600230097770691
1542575704.116463,4874,1.5934540033340454
1542575706.8765976,5069,1.5881192684173584
1542575709.8462663,5264,1.583723545074463
1542575712.7907226,5459,1.5806928873062134
1542575715.6710415,5654,1.5783050060272217
1542575718.526,5849,1.574119210243225
