Wall time,Step,Value
1542575636.2868528,194,0.3864383101463318
1542575639.195585,389,0.5223557949066162
1542575642.2961547,584,0.5908653736114502
1542575645.0668855,779,0.6274639368057251
1542575647.8716316,974,0.6536257863044739
1542575650.747427,1169,0.6734575033187866
1542575653.6168447,1364,0.6904647350311279
1542575656.4334755,1559,0.7104567289352417
1542575659.2280898,1754,0.7262820601463318
1542575662.021975,1949,0.7387019395828247
1542575664.8371615,2144,0.7548677921295166
1542575667.6156151,2339,0.7590144276618958
1542575670.346477,2534,0.7722956538200378
1542575673.1585064,2729,0.7810296416282654
1542575675.9631383,2924,0.7970953583717346
1542575678.7963388,3119,0.8051081895828247
1542575681.5797079,3314,0.8096754550933838
1542575684.3430877,3509,0.8244991898536682
1542575687.1820805,3704,0.829607367515564
1542575689.9763236,3899,0.8384615182876587
1542575692.777857,4094,0.8487980961799622
1542575695.6131134,4289,0.852303683757782
1542575698.4564312,4484,0.8577123284339905
1542575701.3578074,4679,0.8623197078704834
1542575704.116463,4874,0.8691105842590332
1542575706.8765976,5069,0.8743589520454407
1542575709.8462663,5264,0.8792868852615356
1542575712.7907226,5459,0.8814302682876587
1542575715.6710415,5654,0.8837740421295166
1542575718.526,5849,0.8879206776618958
